area_type,availability,location,size,total_sqft,bath,balcony,price,Distance_to_nearest_MRT_station_m
Built-up  Area,Ready To Move,Kalasipalya,7 Bedroom,1875.0,2.0,2.0,300.0,3126.77
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1400.0,2.0,2.0,77.0,9104.87
Super built-up  Area,Ready To Move,Gottigere,2 BHK,1222.0,2.0,1.0,63.0,1918.54
Super built-up  Area,Ready To Move,Electronic City,2 BHK,940.0,2.0,1.0,41.0,1478.16
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185.0,2.0,2.0,42.6,1635.98
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,1779.0,3.0,2.0,112.0,3845.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1615.0,3.0,2.0,59.76,1648.69
Super built-up  Area,18-Dec,JP Nagar,4 BHK,4624.5,2.0,2.0,453.0,376.27
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1056.0,2.0,1.0,61.0,1491.55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100.0,2.0,0.0,46.0,3213.43
Built-up  Area,Ready To Move,Arekere,2 BHK,920.0,2.0,1.0,40.0,1308.96
Super built-up  Area,Ready To Move,ITI Layout,3 BHK,1602.0,2.0,0.0,75.0,8155.11
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1176.0,2.0,0.0,62.0,9540.57
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,675.0,3.0,1.0,59.0,1910.68
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,1352.0,3.0,0.0,135.0,6155.88
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1717.0,3.0,3.0,99.0,3792.67
Plot  Area,18-Apr,4 Bedroom Farm House in Bagalur,4 Bedroom,10961.0,4.0,1.0,80.0,9893.89
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,2119.0,4.0,3.0,111.0,3677.8
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246.0,2.0,1.0,67.3,3872.64
Super built-up  Area,17-Jul,Anandapura,2 BHK,1141.0,2.0,1.0,42.79,9445.89
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1157.0,2.0,1.0,84.0,9089.27
Super built-up  Area,18-Aug,Chandapura,2 BHK,1025.0,2.0,2.0,27.68,5556.51
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,650.0,1.0,2.0,33.0,3182.55
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1349.0,2.0,1.0,98.0,1278.8
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,1566.0,3.0,1.0,83.3,3383.33
Super built-up  Area,Ready To Move,Sahakara Nagar,4 BHK,2830.0,3.0,3.0,195.0,5346.38
Built-up  Area,18-Dec,Electronic City,3 BHK,1320.0,2.0,1.0,38.13,1763.42
Super built-up  Area,18-Nov,manyata park,3 BHK,1780.0,3.0,1.0,84.83,3032.42
Super built-up  Area,Ready To Move,Varthur,2 BHK,1091.0,2.0,1.0,34.9,2667.0
Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,3670.0,4.0,3.0,300.0,5194.51
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,918.0,2.0,1.0,50.49,3074.79
Super built-up  Area,20-Dec,Yeshwanthpur,4 BHK,1950.0,4.0,0.0,130.0,759.93
Super built-up  Area,Ready To Move,Panathur,3 BHK,1695.0,3.0,1.0,90.0,5039.04
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1705.0,3.0,2.0,95.0,1216.34
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,1375.0,3.0,2.0,75.0,8162.51
Super built-up  Area,21-Oct,Kanakpura Road,1 BHK,525.0,1.0,1.0,30.0,1342.66
Built-up  Area,20-Dec,Whitefield,2 BHK,1447.0,2.0,1.0,83.0,1069.53
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1114.0,2.0,1.0,39.0,1342.93
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450.0,2.0,1.0,100.0,2281.71
Super built-up  Area,Ready To Move,Belathur,2 BHK,460.0,1.0,0.0,15.0,4234.71
Built-up  Area,Ready To Move,Vasanthapura,2 BHK,1022.0,2.0,2.0,40.0,6488.57
Built-up  Area,Ready To Move,Hebbal,2 BHK,1000.0,2.0,2.0,45.0,1302.71
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128.0,2.0,1.0,68.75,1897.82
Super built-up  Area,18-May,Kanakpura Road,2 BHK,1180.0,2.0,2.0,57.0,1234.87
Built-up  Area,Ready To Move,TC Palaya,6 Bedroom,1000.0,6.0,1.0,69.0,7064.12
Plot  Area,Ready To Move,Nagarbhavi,2 Bedroom,1200.0,2.0,1.0,150.0,7425.85
Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,3761.0,3.0,2.0,660.0,3091.66
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339.0,2.0,3.0,75.0,1596.24
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,1400.0,2.0,3.0,55.0,389.02
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040.0,2.0,1.0,39.52,3922.14
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,1198.0,2.0,2.0,58.0,978.4
Plot  Area,Ready To Move,Shirdi Sai Layout,4 Bedroom,1200.0,3.0,2.0,95.0,5902.37
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691.0,3.0,2.0,113.0,902.42
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,3.0,2.0,36.0,3993.75
Super built-up  Area,18-Jun,1st Block Jayanagar,3 BHK,1630.0,3.0,2.0,194.0,6515.37
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,1240.0,3.0,2.0,43.5,7167.7
Super built-up  Area,22-Dec,Bannerghatta Road,2 BHK,1122.5,2.0,0.0,58.935,880.49
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665.0,3.0,2.0,86.58,8249.72
Built-up  Area,Ready To Move,Marathahalli,3 BHK,2489.0,3.0,2.0,94.0,1051.89
Built-up  Area,Ready To Move,Brookefield,2 BHK,1142.0,2.0,2.0,70.0,1877.67
Super built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,1976.0,3.0,1.0,184.0,4435.98
Plot  Area,Ready To Move,Sathya Sai Layout,4 Bedroom,5500.0,4.0,2.0,600.0,4334.81
Super built-up  Area,Ready To Move,Kothannur,3 BHK,1853.0,3.0,2.0,82.0,3255.85
Plot  Area,Ready To Move,Vijayanagar,8 Bedroom,600.0,4.0,1.0,72.0,2944.13
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,1567.0,2.0,2.0,92.0,1477.81
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,1090.0,2.0,1.0,27.24,3459.96
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6 Bedroom,1200.0,4.0,2.0,125.0,3551.06
Plot  Area,Ready To Move,Indiranagar HAL 2nd Stage,4 Bedroom,2400.0,4.0,1.0,640.0,6173.02
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1175.0,2.0,2.0,51.47,1429.27
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,1200.0,2.0,2.0,52.0,6085.34
Built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,995.0,2.0,1.0,41.0,5805.34
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,884.0,2.0,1.0,41.1,6917.48
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,5 Bedroom,900.0,3.0,2.0,80.0,4086.68
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1170.0,2.0,2.0,57.0,390.96
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1225.0,2.0,1.0,46.55,1834.14
Super built-up  Area,18-Apr,Electronic City,2 BHK,1342.0,2.0,1.0,73.3,1935.34
Built-up  Area,19-Dec,Uttarahalli,2 BHK,1345.0,2.0,1.0,67.0,1247.97
Built-up  Area,Ready To Move,Kodigehaali,3 BHK,1320.0,3.0,0.0,65.0,4895.21
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140.0,2.0,1.0,49.39,2817.47
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,1300.0,2.0,1.0,50.0,3177.7
Super built-up  Area,Ready To Move,Hosa Road,3 BHK,1652.0,3.0,2.0,85.0,4093.07
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072.0,4.0,2.0,142.0,8011.81
Built-up  Area,Ready To Move,Arekere,3 BHK,1740.0,2.0,2.0,95.0,1590.71
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1360.0,2.0,1.0,71.0,832.52
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,1145.0,2.0,2.0,60.0,4553.81
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1540.0,2.0,0.0,40.0,1077.29
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1278.0,2.0,2.0,95.0,1606.27
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,630.0,1.0,1.0,40.0,823.65
Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,1100.0,3.0,2.0,58.0,924.93
Plot  Area,Ready To Move,Bendiganahalli,3 Bedroom,1200.0,3.0,0.0,95.0,8599.41
Built-up  Area,Ready To Move,Hosakerehalli Layout,7 Bedroom,2500.0,6.0,2.0,115.0,4249.81
Super built-up  Area,18-Jun,Chandapura,1 BHK,582.5,1.0,0.0,15.135,5958.24
Super built-up  Area,18-Sep,Chandapura,2 BHK,1015.0,2.0,2.0,25.88,4714.55
Built-up  Area,Ready To Move,Hosur Road,5 Bedroom,3300.0,5.0,2.0,240.0,3696.09
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,4500.0,5.0,1.0,415.0,2486.34
Super built-up  Area,Ready To Move,Gunjur,3 BHK,1356.0,2.0,3.0,66.0,3444.53
Super built-up  Area,Ready To Move,Hennagara,2 BHK,823.0,2.0,1.0,28.0,8989.88
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200.0,2.0,0.0,66.0,8811.54
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1050.0,2.0,0.0,37.0,1276.62
Super built-up  Area,Ready To Move,Ferrar Nagar,2 BHK,1180.0,2.0,1.0,69.0,7676.6
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116.0,2.0,3.0,51.91,1045.98
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1070.0,2.0,1.0,42.79,2586.3
Super built-up  Area,17-Mar,Varthur,2 BHK,1385.0,2.0,3.0,80.0,3792.67
Plot  Area,Ready To Move,Varthur,1 Bedroom,1000.0,1.0,1.0,70.0,2026.0
Built-up  Area,18-Feb,Whitefield,3 BHK,1897.0,3.0,2.0,130.0,902.61
Super built-up  Area,18-Aug,Magadi Road,2 BHK,1005.0,2.0,1.0,55.78,4455.2
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1575.0,3.0,2.0,125.0,3185.73
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,975.0,2.0,1.0,65.0,4270.05
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1904.0,3.0,2.0,120.0,7081.29
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1 BHK,930.0,1.0,1.0,30.0,5949.97
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525.0,1.0,1.0,26.0,1871.21
Super built-up  Area,Ready To Move,BAGUR,1 BHK,686.0,1.0,1.0,17.0,8722.1
Plot  Area,Ready To Move,Electronic City Phase II,2 Bedroom,2400.0,3.0,1.0,150.0,1210.18
Plot  Area,Ready To Move,8th block Koramangala,2 Bedroom,1410.0,1.0,0.0,233.0,4815.96
Built-up  Area,18-Apr,Sarjapur  Road,3 Bedroom,2238.0,3.0,1.0,140.0,1255.63
Super built-up  Area,Ready To Move,Harlur,2 BHK,1174.0,2.0,1.0,69.0,1508.35
Built-up  Area,Ready To Move,Thubarahalli,4 Bedroom,3800.0,4.0,3.0,239.0,4876.45
Super built-up  Area,Ready To Move,Whitefield,3 BHK,2225.0,2.0,1.0,125.0,1548.98
Super built-up  Area,Ready To Move,M.G Road,2 BHK,1250.0,2.0,0.0,200.0,5865.88
Super built-up  Area,Ready To Move,Jigani,2 BHK,918.0,2.0,2.0,52.0,5656.14
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1250.0,2.0,3.0,52.0,6052.89
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1800.0,3.0,2.0,110.0,1153.36
Built-up  Area,Ready To Move,Marathahalli,2 BHK,1170.0,2.0,3.0,53.0,1938.14
Super built-up  Area,Ready To Move,Byatarayanapura,1 BHK,1300.0,1.0,0.0,200.0,8345.24
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,793.0,2.0,1.0,45.0,968.14
Super built-up  Area,Ready To Move,Jakkur,3 BHK,1710.0,3.0,2.0,107.0,9079.28
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082.0,2.0,1.0,57.5,6412.02
Super built-up  Area,18-Mar,Naganathapura,2 BHK,1001.0,2.0,2.0,33.03,6683.66
Built-up  Area,Ready To Move,Srinivasa Nagar,4 Bedroom,1500.0,4.0,2.0,180.0,8598.99
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1590.0,2.0,1.0,54.0,1310.26
Super built-up  Area,Ready To Move,Basavanagara,3 BHK,2400.0,2.0,0.0,80.0,3157.29
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,1554.0,3.0,2.0,55.0,4880.74
Super built-up  Area,18-Dec,Thanisandra,2 BHK,1142.5,2.0,0.0,43.415,1449.96
Super built-up  Area,Ready To Move,Bellandur,5 BHK,4239.0,5.0,2.0,423.0,1560.17
Built-up  Area,Ready To Move,Konanakunte,2 Bedroom,884.0,1.0,0.0,58.0,4805.21
Super built-up  Area,19-Mar,Hosa Road,2 BHK,1045.0,2.0,1.0,98.89,3975.49
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1019.0,2.0,2.0,49.86,1801.92
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1935.0,4.0,2.0,130.0,9890.82
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1135.0,2.0,2.0,39.73,1430.83
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,1680.0,3.0,2.0,150.0,2343.36
Super built-up  Area,19-Jun,Hebbal,4 BHK,2470.0,5.0,2.0,247.0,1126.77
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,2825.0,4.0,3.0,250.0,3128.73
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2480.0,3.0,1.0,330.0,9400.09
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,1800.0,4.0,3.0,187.0,1491.82
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1799.0,3.0,3.0,90.0,4918.39
Super built-up  Area,Ready To Move,Whitefield,4 Bedroom,4348.5,2.0,2.0,304.0,1465.01
Built-up  Area,Ready To Move,Attibele,1 BHK,400.0,1.0,1.0,11.0,5954.26
Built-up  Area,18-Mar,Kundalahalli,2 BHK,1047.0,2.0,1.0,82.0,3659.48
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1282.0,2.0,2.0,87.0,4444.95
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020.0,2.0,1.0,45.9,3076.97
Plot  Area,Ready To Move,Kammanahalli,4 Bedroom,1080.0,3.0,1.0,155.0,964.26
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1495.0,2.0,1.0,79.5,1880.02
Built-up  Area,Ready To Move,Kasavanhalli,4 Bedroom,3260.0,4.0,1.0,240.0,9117.23
Super built-up  Area,17-Oct,Divya Unnathi Layout,3 BHK,1611.0,2.0,2.0,64.44,7181.89
Super built-up  Area,Ready To Move,Koramangala,4 BHK,3500.0,5.0,2.0,425.0,600.26
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 Bedroom,1500.0,2.0,2.0,95.0,7655.26
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,1500.0,2.0,2.0,95.0,4227.6
Plot  Area,Ready To Move,Yelahanka,4 Bedroom,3206.0,5.0,2.0,270.0,1897.29
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1540.0,3.0,0.0,50.0,1302.52
Super built-up  Area,18-May,Hosa Road,3 BHK,1639.0,3.0,1.0,80.0,5681.97
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,700.0,4.0,2.0,72.0,1422.7
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1303.0,2.0,2.0,55.79,2093.93
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1005.0,1.0,1.0,110.0,383.14
Super built-up  Area,Ready To Move,Kammasandra,1 BHK,657.5,1.0,0.0,18.41,8166.24
Super built-up  Area,18-Oct,Chandapura,3 BHK,1305.0,3.0,1.0,33.28,4248.4
Plot  Area,Ready To Move,Kothannur,3 Bedroom,600.0,4.0,0.0,95.0,7222.06
Super built-up  Area,Ready To Move,sapthagiri Layout,2 BHK,1300.0,1.0,1.0,115.0,4717.44
Super built-up  Area,Ready To Move,Brookefield,3 BHK,1440.0,2.0,3.0,68.0,1267.15
Super built-up  Area,18-Dec,Seegehalli,2 BHK,901.0,2.0,1.0,35.14,5020.86
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1725.0,3.0,3.0,200.0,477.84
Built-up  Area,Ready To Move,Sarjapur,3 BHK,900.0,2.0,1.0,42.0,1662.86
Super built-up  Area,Ready To Move,BEML Layout,2 BHK,1060.0,2.0,1.0,55.0,5079.85
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020.0,2.0,1.0,48.45,6964.83
Super built-up  Area,20-Dec,Varthur,3 BHK,1535.0,3.0,2.0,65.99,2952.1
Built-up  Area,Ready To Move,Alur,1 BHK,530.0,1.0,1.0,20.0,7645.7
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1464.0,3.0,2.0,56.0,1924.2
Super built-up  Area,Ready To Move,Devarabisanahalli,2 BHK,1350.0,2.0,3.0,80.0,8128.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1115.0,2.0,2.0,50.0,1057.93
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1175.0,2.0,2.0,47.0,837.42
Built-up  Area,Ready To Move,Whitefield,2 BHK,1113.0,2.0,1.0,62.0,1114.72
Plot  Area,Ready To Move,Uttarahalli,6 Bedroom,1200.0,4.0,2.0,225.0,1514.09
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,1640.0,4.0,3.0,240.0,861.71
Built-up  Area,Ready To Move,Giri Nagar,2 BHK,650.0,2.0,0.0,42.0,6474.56
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1325.0,2.0,2.0,71.55,1516.21
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,950.0,2.0,3.0,31.0,1201.09
Super built-up  Area,18-Apr,Jakkur,3 BHK,1396.0,2.0,1.0,86.51,8396.39
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050.0,2.0,2.0,52.07,4319.79
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1825.0,3.0,2.0,100.0,890.17
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1190.0,2.0,1.0,49.98,3456.38
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220.0,2.0,1.0,56.5,1394.59
Super built-up  Area,Ready To Move,NRI Layout,3 BHK,1565.0,2.0,2.0,75.0,7818.82
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1891.0,3.0,1.0,109.0,6043.79
Built-up  Area,Ready To Move,Sidedahalli,2 BHK,900.0,2.0,0.0,27.0,4724.81
Super built-up  Area,18-Jul,Hosa Road,2 BHK,1161.0,2.0,1.0,55.15,8733.72
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,649.5,1.0,0.0,17.535,1759.3
Plot  Area,Ready To Move,Dwarka Nagar,8 Bedroom,2400.0,6.0,3.0,125.0,7862.88
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,315.0,4.0,2.0,90.0,436.07
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,665.0,1.0,1.0,36.85,595.12
Super built-up  Area,19-Jan,Mysore Road,2 BHK,1175.0,2.0,1.0,73.5,1233.17
Built-up  Area,Ready To Move,Hoodi,2 BHK,1425.0,2.0,2.0,80.0,3641.07
Plot  Area,Ready To Move,Chikkabanavar,1 Bedroom,1200.0,1.0,0.0,20.0,9421.2
Plot  Area,18-Aug,ITPL,3 Bedroom,1200.0,3.0,1.0,56.12,3957.73
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1255.0,2.0,2.0,67.0,9651.66
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2112.95,4.0,2.0,145.0,6122.04
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,600.0,1.0,1.0,22.0,2370.27
Super built-up  Area,18-Jul,Haralur Road,3 BHK,1810.0,3.0,2.0,100.0,1450.28
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,1200.0,2.0,2.0,93.0,9110.62
Super built-up  Area,Ready To Move,Harlur,2 BHK,1033.0,2.0,2.0,49.0,1678.67
Super built-up  Area,Ready To Move,ITPL,3 BHK,1548.0,3.0,2.0,89.5,8645.93
Super built-up  Area,18-May,Horamavu Banaswadi,3 BHK,1611.0,3.0,3.0,66.0,7611.48
Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,1400.0,2.0,1.0,40.43,1630.73
Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,1485.0,2.0,2.0,67.0,3698.39
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,2400.0,2.0,1.0,82.0,4747.68
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,1025.0,2.0,1.0,44.5,6425.97
Plot  Area,Ready To Move,Thurahalli,4 Bedroom,600.0,3.0,2.0,65.0,4548.47
Super built-up  Area,Ready To Move,Hallehalli,2 BHK,1225.0,2.0,2.0,53.0,9913.68
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1256.0,2.0,1.0,62.8,9608.42
Super built-up  Area,Ready To Move,Whitefield,4 BHK,2268.0,3.0,2.0,163.0,847.31
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1100.0,3.0,2.0,53.0,1646.69
Super built-up  Area,Ready To Move,Vadarpalya,2 BHK,1141.0,2.0,0.0,62.0,9476.74
Built-up  Area,Ready To Move,Attibele,1 BHK,400.0,1.0,1.0,12.0,4541.73
Plot  Area,Ready To Move,Chandapura,2 Bedroom,1400.0,2.0,0.0,60.0,5703.84
Super built-up  Area,Ready To Move,Kattigenahalli,7 BHK,4100.0,7.0,2.0,140.0,9408.42
Carpet  Area,Ready To Move,Weavers Colony,1 BHK,15.0,1.0,0.0,30.0,7881.94
Super built-up  Area,Ready To Move,Raghavendra Nagar,2 BHK,1175.0,2.0,2.0,48.27,5081.44
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1100.0,2.0,1.0,56.0,9470.77
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843.0,3.0,2.0,95.84,1965.27
Plot  Area,Ready To Move,1st Phase JP Nagar,8 Bedroom,1200.0,7.0,2.0,240.0,9609.87
Super built-up  Area,19-Dec,Horamavu Banaswadi,2 BHK,1460.0,2.0,1.0,80.5,6319.5
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1530.0,2.0,2.0,74.5,6586.13
Built-up  Area,Ready To Move,HSR Layout,2 BHK,1467.0,2.0,1.0,55.0,1813.46
Super built-up  Area,Ready To Move,KR Layout,1 BHK,950.0,1.0,1.0,40.0,5233.7
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246.0,2.0,1.0,64.5,8802.41
Super built-up  Area,19-Dec,Kanakapura,1 BHK,711.0,1.0,1.0,38.0,3259.05
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1194.0,2.0,2.0,46.0,1515.52
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,1358.0,2.0,1.0,43.4,4610.06
Carpet  Area,Ready To Move,Nagasandra,6 Bedroom,1500.0,5.0,1.0,130.0,3843.97
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1420.0,2.0,2.0,75.0,3538.67
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1250.0,2.0,1.0,68.75,7874.02
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1280.0,2.0,2.0,58.0,5379.12
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,1209.0,2.0,1.0,50.0,8073.37
Built-up  Area,Ready To Move,Kempapura,5 Bedroom,4200.0,5.0,2.0,225.0,3457.49
Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,1215.0,4.0,3.0,205.0,5207.03
Super built-up  Area,Ready To Move,Panathur,3 BHK,1315.0,2.0,1.0,54.8,5618.47
Super built-up  Area,Ready To Move,Kariyammana Agrahara,3 BHK,1800.0,3.0,3.0,90.0,8535.06
Built-up  Area,Ready To Move,Hessarghatta,5 Bedroom,1600.0,4.0,0.0,125.0,5231.27
Super built-up  Area,Ready To Move,TC Palaya,3 BHK,1600.0,2.0,2.0,65.0,7381.24
Plot  Area,Ready To Move,Binnamangala,6 Bedroom,3968.0,5.0,2.0,900.0,9201.84
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,1563.0,3.0,2.0,52.0,7311.04
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1560.0,2.0,2.0,72.0,1079.55
Super built-up  Area,Ready To Move,Brookefield,3 BHK,2169.0,4.0,2.0,115.0,829.28
Plot  Area,Ready To Move,Lakshmi Layout,9 Bedroom,900.0,10.0,2.0,170.0,9090.69
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050.0,2.0,2.0,55.5,4063.81
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,3235.0,3.0,1.0,235.0,9122.91
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200.0,3.0,0.0,66.0,6702.56
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1140.0,2.0,2.0,46.0,1926.88
Plot  Area,Ready To Move,7th Phase JP Nagar,3 Bedroom,1500.0,3.0,1.0,170.0,3597.57
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1560.0,3.0,2.0,75.0,9985.54
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,1100.0,2.0,2.0,70.0,475.36
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1260.0,2.0,3.0,40.32,8370.32
Super built-up  Area,18-Mar,Hebbal,2 BHK,1036.0,2.0,1.0,50.0,1282.32
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1662.0,3.0,3.0,85.1,6359.13
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,1464.0,2.0,3.0,105.0,613.75
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1234.0,2.0,2.0,80.0,1848.41
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1403.0,3.0,1.0,55.0,1980.9
Plot  Area,Ready To Move,Kadugondanahalli,4 Bedroom,915.0,4.0,1.0,54.9,8377.91
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,3000.0,8.0,3.0,451.0,5924.37
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,1150.0,2.0,2.0,42.9,5949.5
Built-up  Area,Ready To Move,Hebbal,4 BHK,3900.0,4.0,2.0,410.0,1685.1
