area_type,availability,location,size,total_sqft,bath,balcony,price,Distance_to_nearest_MRT_station_m
Super built-up  Area,22-Jun,Hoodi,3 BHK,1850,3,2,146,3000.94
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,1112,2,2,62,6577.9
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1535,3,2,72.5,856.22
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1050,2,1,35,1131.4
Plot  Area,Ready To Move,Banashankari,4 BHK,2400,3,2,370,653.49
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1250,3,2,65,2125.38
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1187,2,3,52,8875.37
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1164,2,1,56,3026.74
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1395,2,1,62.78,1096.19
Super built-up  Area,18-Jul,Arekere,3 BHK,2072,3,2,108,1689.08
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1450,3,3,60.91,1179.52
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1550,3,2,82,922.27
Super built-up  Area,Ready To Move,Sampige Layout,2 BHK,1315,2,2,90,5521.64
Super built-up  Area,19-Dec,Hebbal,4 BHK,3067,4,3,230,1124.47
Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,1210,2,2,72,8898.98
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1,47,2626.7
Super built-up  Area,Ready To Move,Sathya Sai Layout,6 BHK,11338,9,1,1000,8522.53
Super built-up  Area,18-May,Virgonagar,3 BHK,1215,3,1,42.2,9243.11
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1470,2,2,75,2867.63
Plot  Area,18-Jul,Dodsworth Layout,4 BHK,30000,4,2,2100,9369.6
Built-up  Area,Ready To Move,Hosur Road,3 BHK,1590,2,2,125,5641.23
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1050,2,1,36.75,1956.89
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1306,2,1,55.91,2178.58
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,2000,3,2,250,7809.13
Built-up  Area,Ready To Move,"Kudlu Village,",3 BHK,1445,3,2,64,6456.7
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1220,3,2,58,1265.18
Plot  Area,Ready To Move,Sarjapur,4 BHK,3190,3,1,160,1559.25
Super built-up  Area,18-May,Ramagondanahalli,2 BHK,1215,2,1,51.26,3407.71
Built-up  Area,Ready To Move,Budigere,3 BHK,1920,2,1,88,4013.09
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1390,2,2,60,4168.67
Plot  Area,Ready To Move,Battarahalli,3 BHK,800,2,1,75,7991.32
Plot  Area,Ready To Move,Nagarbhavi,3 BHK,600,3,2,100,7664.7
Super built-up  Area,21-Jul,Hoodi,2 BHK,1196,2,0,71.74,9762.33
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1550,2,2,75,1713.25
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1418,2,2,101,9655.41
Super built-up  Area,19-Mar,Varthur Road,3 BHK,1655,3,2,115,7917.78
Built-up  Area,Ready To Move,KR Puram,2 BHK,1115,2,2,33.45,1157.66
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,1170,2,2,68,3737.55
Super built-up  Area,Ready To Move,Anekal,2 BHK,1035,2,2,38.3,6345.47
Super built-up  Area,Ready To Move,Singasandra,3 BHK,1306,2,2,58,7509.04
Super built-up  Area,18-Dec,Kengeri,2 BHK,750,2,2,22,857.82
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1917,3,3,122,1232.06
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1615,3,3,58,3913.6
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1071,2,2,52.25,1400.48
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1325,2,2,119,516.36
Plot  Area,Ready To Move,Malleshwaram,7 BHK,3000,4,2,900,6203.9
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1400,2,1,88,4462.18
Super built-up  Area,21-Jan,Tumkur Road,2 BHK,1246,2,1,82,2737.41
Built-up  Area,Ready To Move,Sarjapur,2 BHK,1215,2,0,40,1243.78
Super built-up  Area,Ready To Move,Munnekollal,2 BHK,1200,2,2,49.5,3366.49
Plot  Area,Ready To Move,Kurubarahalli,4 BHK,450,3,1,53,8372.97
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,1200,2,2,60,5915.53
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,945,2,2,50,8755.26
Super built-up  Area,Ready To Move,Benson Town,4 BHK,4460,5,2,650,3700.7
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1175,2,1,52,4483.96
Super built-up  Area,Ready To Move,Whitefield,2 BHK,920,2,1,63,1588.82
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3024,5,1,350,6305.97
Plot  Area,Ready To Move,Bidadi,2 BHK,1600,2,2,110,9161.1
Plot  Area,Ready To Move,Sanjay nagar,4 BHK,750,2,0,110,4510.18
Plot  Area,Ready To Move,Sector 4 HSR Layout,4 BHK,2400,4,2,700,7744.69
Built-up  Area,Ready To Move,Bhagyalakshmi Avenue,2 BHK,955,1,2,34.01,7254.26
Super built-up  Area,Ready To Move,Ardendale,3 BHK,1750,3,3,100,5067.11
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1425,2,2,64,963.92
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,2150,3,2,265,7561.48
Super built-up  Area,20-Dec,Whitefield,2 BHK,1165,2,1,40.5,1686.32
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1050,2,2,48,2631.25
Super built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,1370,2,2,75,7513.83
Super built-up  Area,18-Apr,Electronic City,3 BHK,1374,2,1,72,1274.16
Super built-up  Area,Ready To Move,Harlur,3 BHK,1754,3,2,124,1655.85
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1847,3,2,110,2398.43
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1850,4,3,139,9231.51
Plot  Area,18-May,Chikka Tirupathi,3 BHK,3297,3,1,135,2574.82
Super built-up  Area,Ready To Move,Doddakannelli,2 BHK,1187,2,2,45,5574.5
Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,1400,2,1,40.44,3406.64
Plot  Area,Ready To Move,Kengeri Hobli,3 BHK,600,2,0,30,3780.59
Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,1350,2,3,180,6611.03
Plot  Area,Ready To Move,Doddaballapur,3 BHK,3000,2,2,120,4873.15
Super built-up  Area,21-Dec,Thanisandra,1 BHK,693,1,1,34.3,1802.58
Super built-up  Area,21-May,Dairy Circle,3 BHK,1980,3,2,224,3102.85
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1021,2,1,48,1254.91
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1165,2,2,95,5361.42
Super built-up  Area,19-Mar,Horamavu Agara,3 BHK,1756,3,2,92,3135.29
Super built-up  Area,Ready To Move,Bharathi Nagar,3 BHK,1739,3,1,105,3870.58
Super built-up  Area,Ready To Move,Varthur,2 BHK,1280,2,2,65,2827.29
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1215,2,2,58.86,1391.44
Super built-up  Area,18-Apr,Munnekollal,2 BHK,950,2,1,46.5,5830.03
Built-up  Area,Ready To Move,Kengeri,3 BHK,1082,2,1,49,1437.13
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,42,3190.26
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,1080,2,0,53.35,4029.77
Super built-up  Area,Ready To Move,Arekere,2 BHK,1100,2,2,55,1356.91
Plot  Area,Ready To Move,Ardendale,4 BHK,3200,4,1,205,9744.49
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1311,2,1,78,1422.84
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1608,3,1,67.98,3355.08
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160,2,2,36,1174.24
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170,2,1,71,1728.79
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1155,2,2,40.6,1727.51
Super built-up  Area,18-Dec,Hebbal,3 BHK,1255,2,1,77.68,1425.56
Super built-up  Area,Ready To Move,Rayasandra,2 BHK,1065,2,2,44.95,9832.1
Super built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,674,1,1,21,3878.85
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1936,4,2,126,3118.63
Super built-up  Area,18-Dec,Sarakki Nagar,3 BHK,2289,3,2,260,8391.11
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,1100,2,1,38.45,8650.09
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,2257,4,2,157,2240.41
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,1055,2,2,55,4859.08
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1530,3,3,51.87,2035.1
Super built-up  Area,Ready To Move,Dinnur,3 BHK,1700,3,1,97,5053.16
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1575,2,2,78,3546.28
Built-up  Area,Ready To Move,Frazer Town,3 BHK,3500,4,2,330,6625.72
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,1263,2,1,93.32,5436.67
Super built-up  Area,Ready To Move,KR Puram,3 BHK,1559,3,0,69.315,1246.09
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,1043,2,2,65,3009.48
Super built-up  Area,Ready To Move,Hennur,2 BHK,1255,2,2,53.5,1159.76
Super built-up  Area,18-Mar,JP Nagar,2 BHK,1352.5,2,0,93.865,623.23
Super built-up  Area,18-Dec,Chandapura,1 BHK,590,1,0,13.57,6922.58
Plot  Area,Ready To Move,Yelahanka,3 BHK,1550,3,1,120,1816.47
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1220,3,3,56,828.31
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,1900,3,3,160,9289.92
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,1360,3,3,55,8482.39
Built-up  Area,Ready To Move,Vyalikaval,2 BHK,1100,2,1,75,8462.63
Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,1455,3,2,73.31,6205.97
Built-up  Area,Ready To Move,KR Puram,2 BHK,1035,2,1,40.5,1277.61
Super built-up  Area,Ready To Move,Harlur,2 BHK,1152,2,2,69,1163.5
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1299,2,2,82,878.83
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,1157,2,1,75,1073.88
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050,2,2,52.5,4739.81
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,1050,2,2,40,6388.54
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246,2,1,67.4,8232.11
Built-up  Area,Ready To Move,"Sarjapur Road,",3 BHK,1929,3,2,115,6316.67
Super built-up  Area,Ready To Move,Hennur,2 BHK,1285,2,1,60,869.41
Plot  Area,Ready To Move,Margondanahalli,3 BHK,1200,2,0,65,9704.53
Built-up  Area,Ready To Move,"Banaswadi,",4 BHK,3161,4,3,214,9599.07
Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,1850,3,2,170,8496.33
Built-up  Area,Ready To Move,Sompura,3 BHK,1025,2,0,37,9939.3
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,1124,3,2,80,6811.38
Super built-up  Area,19-Dec,Balagere,2 BHK,1012,2,1,54.59,9739.38
Super built-up  Area,Ready To Move,Giri Nagar,7 BHK,4500,5,3,250,3529.24
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,871,2,2,55,5559.77
Built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,1020,2,2,40,4577.67
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1550,3,3,73.5,4587.5
Plot  Area,Ready To Move,Anand Nagar,3 BHK,3515,3,1,420,3985.62
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1410,2,2,80,7356.9
Plot  Area,18-Dec,Chikka Tirupathi,4 BHK,3500,5,3,150,3562.64
Super built-up  Area,18-Apr,Whitefield,2 BHK,1118,2,1,75,1493.96
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1098,2,1,68,976.36
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1130,2,1,45.2,8677.87
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1145,2,2,75,1563.15
Plot  Area,Ready To Move,Kadugodi,3 BHK,950,3,1,80,1265.8
Super built-up  Area,Ready To Move,Balaji Gardens Layout,2 BHK,1051,2,1,33,7718.91
Plot  Area,Ready To Move,Thavarekere,7 BHK,600,7,2,108,4819.33
Super built-up  Area,18-Apr,Marathahalli,2 BHK,1102,2,2,53.67,1214.23
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,1478,2,2,125,758.74
Super built-up  Area,18-Aug,Chandapura,1 BHK,645,1,1,16.45,4871.51
Carpet  Area,18-Dec,Hebbal,2 BHK,823,2,1,50.63,1363.99
Super built-up  Area,21-Dec,Abbigere,2 BHK,880,2,1,35,9230.99
Built-up  Area,Ready To Move,KR Puram,4 BHK,600,5,2,75,1649.27
Super built-up  Area,Ready To Move,Budigere,3 BHK,1991,4,2,100,4186.61
Built-up  Area,Ready To Move,TC Palaya,3 BHK,1100,3,1,50,4031.12
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1745,3,2,115,3054.89
Built-up  Area,17-Sep,HAL 2nd Stage,2 BHK,1226,3,1,135,7416.45
Plot  Area,Ready To Move,Begur Road,3 BHK,680,4,1,68,1337.21
Super built-up  Area,Ready To Move,Devarabeesana Halli,2 BHK,1100,2,1,70,3939.92
Plot  Area,Ready To Move,Banashankari Stage VI,4 BHK,1200,4,3,195,9705.54
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1450,2,1,58,6707.62
Super built-up  Area,Ready To Move,Singasandra,4 BHK,3366,4,2,120,4693.25
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1150,2,1,54,6504.22
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3,2,95.84,1615.54
Plot  Area,Ready To Move,Banashankari Stage VI,4 BHK,2200,4,2,195,3533.67
Built-up  Area,Ready To Move,Bommanahalli,2 BHK,1090,3,2,44,1129.64
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1132,2,2,42,3613.93
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1375,2,2,80,1351.6
Plot  Area,Ready To Move,7th Phase JP Nagar,4 BHK,1500,5,3,220,3093.15
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,760,1,2,50.3,1319.38
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1180,2,2,65,2087.8
Super built-up  Area,Ready To Move,Jigani,2 BHK,918,2,2,45,4497.25
Plot  Area,Ready To Move,Rachenahalli,5 BHK,600,5,2,50,5336.62
Built-up  Area,Ready To Move,Margondanahalli,2 BHK,1200,1,0,53,4464.3
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1372,2,1,61,859.97
Plot  Area,Ready To Move,1st Block HRBR Layout,7 BHK,2400,7,3,355,8905.55
Super built-up  Area,Ready To Move,Ardendale,3 BHK,1728,3,2,95,9868.35
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,2215,3,1,275,8552
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,1200,2,2,80,8976.49
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1280,2,2,56,4693.84
Plot  Area,Ready To Move,Hulimavu,4 BHK,800,4,2,110,1952.75
Super built-up  Area,Ready To Move,Byrasandra,3 BHK,1455,2,2,56,4378.48
Super built-up  Area,20-Aug,Rachenahalli,1 RK,440,1,0,28,6854.29
Plot  Area,Ready To Move,Kanakpura Road,3 BHK,1500,3,2,97,1993.78
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1800,3,2,110,1654.07
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1525,3,2,96,1977.37
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1204,2,3,38.5,5708.62
Super built-up  Area,19-Dec,Old Madras Road,2 BHK,1225,2,1,53.55,4816.79
Built-up  Area,Ready To Move,Kalyan nagar,6 BHK,800,6,3,98,6058.97
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1650,3,2,122,1512.27
Built-up  Area,Ready To Move,Electronic City,3 BHK,880,2,1,18,887.7
Built-up  Area,Ready To Move,Bikasipura,4 BHK,4200,4,2,255,7356.4
Plot  Area,Ready To Move,Tippenahalli,2 BHK,1200,2,0,55,9868.24
Plot  Area,Ready To Move,Sarjapur  Road,4 BHK,1152,4,1,230,1028.13
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005,2,1,42,8548.17
Super built-up  Area,20-Dec,Whitefield,3 BHK,1562,3,2,103,1889.48
Built-up  Area,Ready To Move,Devanahalli,4 BHK,5000,5,2,395,6831.1
Plot  Area,Ready To Move,Babusapalaya,6 BHK,810,5,2,95,9720.95
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1200,2,3,42,1425.75
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1555,3,2,82.5,9841.16
Plot  Area,Ready To Move,KR Puram,2 BHK,1550,2,1,71,1708.77
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1190,2,2,67,994.01
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1070,2,2,50,2953.8
Plot  Area,Immediate Possession,Sarjapur  Road,2 BHK,1800,2,2,28.785,1662
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,1020,2,1,42.48,4731.38
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1610,3,1,115,1568.74
Super built-up  Area,Ready To Move,Prestige Sunrise,1 BHK,700,1,1,41,7666.2
Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,1300,2,1,49,4138.9
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1420,2,1,123,1478.1
Plot  Area,Ready To Move,Vidyaranyapura,9 BHK,1200,9,2,100,3543.25
Carpet  Area,18-Dec,Hebbal,3 BHK,1069,3,2,65.4,1398.67
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1900,3,3,123,814.52
Super built-up  Area,18-May,Old Airport Road,2 BHK,1655,2,1,97.65,810.85
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1155,2,2,40.42,1228.44
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1300,2,2,70,1911.43
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2,2,45,1074.41
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1030,2,2,42,3268.73
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2105,2,1,70.2,4554.53
Built-up  Area,Ready To Move,Bhoganhalli,3 BHK,1700,3,2,126,2643.34
Super built-up  Area,Ready To Move,Jakkur,3 BHK,1760,3,2,139,8936.29
Built-up  Area,Ready To Move,Kadugodi,9 BHK,6200,9,0,200,1674.63
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,1400,2,1,67,3667.79
Super built-up  Area,Ready To Move,Srigandada Kaval,2 BHK,1200,2,0,53,6000.91
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,912,2,1,55,835
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1102,2,1,48,1377.07
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,1535,3,1,55,7637.04
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1243,2,2,46,942.2
Super built-up  Area,Ready To Move,Jigani,2 BHK,918,2,2,63.2,4866.65
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1500,2,3,70,1277.4
Plot  Area,Ready To Move,Mathikere Extension,3 BHK,3000,3,0,250,9436.72
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1476,3,0,89,9952.79
Super built-up  Area,18-Apr,Mysore Road,2 BHK,1200,2,3,65,853.89
Super built-up  Area,21-Jun,Vijayanagar,1 BHK,606,1,0,34.78,3522.02
Super built-up  Area,Ready To Move,Viswajit Layout,2 BHK,1100,2,3,61,5602.07
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1295,2,1,59.5,5747.21
Built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,527,1,0,26,8279.85
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1300,2,2,80,9428.99
Plot  Area,Ready To Move,Bommanahalli,3 BHK,680,4,1,68,1941.11
Plot  Area,Ready To Move,Adityanagar,1 BHK,1260,1,0,41,7039.86
Built-up  Area,Ready To Move,Koramangala,2 BHK,1140,2,1,75.2,478.56
Plot  Area,Ready To Move,BDS Layout,1 BHK,1500,1,0,37.5,8512.84
Super built-up  Area,18-Dec,Whitefield,3 BHK,2321,4,1,128,1101.2
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1390,2,2,62,1476.89
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1725,3,3,90,1230.29
Super built-up  Area,18-May,Hebbal,4 BHK,3067,4,1,310,1587.96
Super built-up  Area,18-Mar,Hennur Road,3 BHK,1186,2,1,63,4682.79
Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,1230,2,1,85,1029.91
Built-up  Area,Ready To Move,Mysore Highway,1 BHK,600,1,1,17,9427.67
Super built-up  Area,18-Dec,Yeshwanthpur,3 BHK,1313,3,1,96,350.9
Plot  Area,Ready To Move,TC Palaya,2 BHK,900,2,0,55,6541.71
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,1250,2,2,66.25,4662.56
Plot  Area,Ready To Move,HBR Layout,9 BHK,1200,6,3,280,846.72
Super built-up  Area,19-Dec,Binny Pete,1 BHK,660,1,1,54,2072.04
Super built-up  Area,Ready To Move,Basavangudi,2 BHK,1036,2,2,105,4226.55
Built-up  Area,Ready To Move,Koramangala,4 BHK,2700,4,3,450,733.39
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,1100,2,1,70,4977.35
Plot  Area,Immediate Possession,Devanahalli,2 BHK,1950,2,2,46.8,6851.38
Plot  Area,Ready To Move,BTM 2nd Stage,4 BHK,1500,2,1,450,7071.36
Plot  Area,Ready To Move,Singasandra,4 BHK,525,5,2,56,6056.3
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1015,2,1,56,1496.11
Plot  Area,Ready To Move,Gottigere,1 BHK,812,1,0,26,1420.04
Built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,1360,2,2,65,8311.43
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,2167,3,3,170,4977.47
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1200,2,1,35,2706.1
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,1165,2,2,75,9258.66
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,1274,2,2,70,9625.2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1151,2,2,39.02,3785.12
Plot  Area,Ready To Move,Vidyaranyapura,6 BHK,1060,6,3,110,2838.9
Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,1626,2,2,120,8462.56
Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,1035,2,2,35.77,6334.35
Plot  Area,Ready To Move,Shanthi Layout,3 BHK,1272,4,0,75,6482.78
Built-up  Area,Ready To Move,Jeevan bima nagar,2 BHK,965,2,1,45,4432.76
Plot  Area,Ready To Move,Esther Enclave Layout,5 BHK,1600,5,2,140,7137.91
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1070,2,1,42.79,4302.95
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1570,2,2,65,2663.13
Super built-up  Area,Ready To Move,Keerthi Layout,2 BHK,780,2,2,25,4449.53
Super built-up  Area,Ready To Move,Ganga Nagar Extension,3 BHK,1000,2,1,65,3498.11
Plot  Area,Ready To Move,9th Phase JP Nagar,4 BHK,1200,3,2,188,3483.05
Built-up  Area,Ready To Move,Tindlu,7 BHK,7500,7,2,400,9585.49
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1700,2,3,100,6548.44
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1850,3,2,110,1291.29
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,904,2,1,30,8676.15
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,1121,2,1,43.72,8850.78
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1385,2,2,58.17,2664.38
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1270,2,1,69.85,7855.33
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1450,3,3,56,1725.35
Plot  Area,Ready To Move,Huttanahalli,3 BHK,2400,4,2,325,7582.55
Super built-up  Area,Ready To Move,Mahadevpura,1 BHK,730,1,1,35,4061.17
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1580,3,3,53.56,3751.77
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1111,2,1,50,1446.91
Plot  Area,Ready To Move,Kengeri,4 BHK,1125,2,1,88,1138.97
Super built-up  Area,Ready To Move,Varthur,2 BHK,977,2,2,36,2850.46
Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,674,1,1,19.9,3263
Plot  Area,18-Apr,Nagarbhavi,3 BHK,600,3,1,83,3895.07
Plot  Area,Ready To Move,Sarjapur,4 BHK,2540,4,1,115,1718.66
Super built-up  Area,17-Dec,Jakkur,2 BHK,1290,2,1,100,3000.08
Plot  Area,Ready To Move,Kumaraswami Layout,3 BHK,600,3,1,98,5915.96
Super built-up  Area,Ready To Move,Abbigere,2 BHK,795,2,1,32.54,6657.57
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,700,1,1,35,865.56
Built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,1463,1,1,142,9811.55
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,1000,3,0,140,2452.25
Super built-up  Area,Ready To Move,Reliable Woods Layout,3 BHK,1306,2,2,58,5129.39
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,2401,3,2,185,5127.6
Plot  Area,Ready To Move,Bommenahalli,4 BHK,1670,3,0,135,4612.92
Built-up  Area,Ready To Move,Jayanagar,3 BHK,1875,2,3,235,300.74
Plot  Area,Ready To Move,Marsur,3 BHK,1200,3,1,90,8105.41
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1804,3,2,121,9767.92
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2065,4,1,210,4570.05
Super built-up  Area,Ready To Move,Hoskote,3 BHK,1225,3,1,40,5989.14
Super built-up  Area,18-Nov,Thanisandra,2 BHK,1185.5,2,0,58.68,1690.28
Super built-up  Area,Ready To Move,Bellandur,2 BHK,900,2,2,56,1818.11
Super built-up  Area,19-Dec,Binny Pete,2 BHK,1350,2,1,91,2845.26
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,700,1,0,36,5120.52
Super built-up  Area,18-Jun,Mysore Road,2 BHK,1005,2,0,35.175,1190.35
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,1160,2,1,46.39,7988.35
